date,tic,share,cash,index
2013/7/25,1101,0.0,1.9,1
2015/7/23,1101,0.0,2.49,1
2016/7/25,1101,0.0,1.33,1
2017/7/25,1101,0.0,1.45,1
2018/7/26,1101,100.0,1.5,1
2019/8/13,1101,70.108841,3.30513111,1
2020/8/12,1101,50.016326,2.50081632,1
2021/8/12,1101,0.0,3.36811984,1
2022/7/21,1101,99.928258,0.99928258,1
2023/7/11,1101,0.0,0.49971973,1
2014/7/17,1101,0.0,2.3,1
2023/7/20,1102,0.0,2.29958798,2
2022/7/28,1102,0.0,3.39965914,2
2021/8/5,1102,0.0,3.46283787,2
2020/7/23,1102,0.0,3.0,2
2019/7/24,1102,0.0,2.8,2
2018/8/30,1102,0.0,1.2,2
2016/8/31,1102,0.0,1.1,2
2015/9/1,1102,0.0,2.2,2
2014/8/28,1102,20.0,1.8,2
2013/8/29,1102,20.0,1.7,2
2017/8/30,1102,0.0,0.9,2
2023/8/3,1216,0.0,3.15,3
2021/9/9,1216,0.0,2.7,3
2019/8/1,1216,0.0,2.5,3
2018/8/2,1216,0.0,5.5,3
2017/8/3,1216,0.0,2.1,3
2016/8/4,1216,0.0,2.0,3
2015/8/6,1216,40.0,1.4,3
2014/8/7,1216,60.0,1.5,3
2013/8/8,1216,60.0,1.4,3
2020/8/6,1216,0.0,2.5,3
2022/8/4,1216,0.0,2.7,3
2022/8/30,1229,50.0,0.0,4
2013/8/2,1229,0.0,0.99923102,4
2022/4/21,1229,0.0,1.8,4
2015/8/25,1229,40.0,1.4,4
2016/8/29,1229,25.0,1.2,4
2017/8/25,1229,50.0,1.6,4
2014/8/7,1229,0.0,0.99971066,4
2018/8/27,1229,100.0,1.8,4
2019/8/29,1229,50.0,1.6,4
2020/8/12,1229,160.0,1.6,4
2021/4/22,1229,0.0,1.7,4
2021/9/24,1229,100.0,0.0,4
2023/7/26,1229,70.0,1.3,4
2021/7/30,1301,0.0,2.4,5
2013/7/17,1301,40.0,1.2,5
2014/7/3,1301,0.0,1.9,5
2015/7/15,1301,0.0,1.7,5
2016/7/13,1301,0.0,3.6,5
2018/7/11,1301,0.0,5.7,5
2019/7/2,1301,0.0,5.8,5
2020/7/2,1301,0.0,4.4,5
2022/7/5,1301,0.0,8.2,5
2017/7/12,1301,0.0,4.6,5
2023/6/27,1301,0.0,4.2,5
2016/7/19,1303,0.0,3.3,6
2014/7/9,1303,0.0,1.9,6
2015/7/9,1303,0.0,2.3,6
2017/7/18,1303,0.0,4.5,6
2018/7/10,1303,0.0,5.1,6
2019/7/3,1303,0.0,5.0,6
2020/7/7,1303,0.0,2.2,6
2021/7/28,1303,0.0,2.4,6
2013/8/7,1303,10.0,0.3,6
2022/7/6,1303,0.0,7.5,6
2023/6/29,1303,0.0,3.0,6
2014/7/4,1326,0.0,2.5,7
2015/7/21,1326,0.0,1.2,7
2016/7/6,1326,0.0,3.5,7
2017/7/6,1326,0.0,5.6,7
2018/7/5,1326,0.0,7.0,7
2019/6/26,1326,0.0,6.2,7
2020/7/1,1326,0.0,3.8,7
2021/7/27,1326,0.0,2.5,7
2013/7/22,1326,30.0,0.65,7
2022/6/28,1326,0.0,4.8,7
2023/6/14,1326,0.0,0.95,7
2022/7/28,1402,0.0,1.5,8
2021/7/30,1402,0.0,1.35,8
2020/7/27,1402,0.0,1.5,8
2019/7/19,1402,0.0,1.8,8
2018/7/19,1402,0.0,1.2,8
2017/7/20,1402,0.0,0.8,8
2016/7/14,1402,0.0,1.0,8
2015/7/30,1402,20.0,1.2,8
2023/7/17,1402,0.0,1.35,8
2014/8/28,1402,20.0,1.3,8
2013/8/27,1402,20.0,1.3,8
2023/6/15,1476,0.0,17.0,9
2024/4/11,1476,0.0,13.5,9
2022/7/5,1476,0.0,12.0,9
2021/8/13,1476,0.0,11.0,9
2020/7/9,1476,0.0,11.0,9
2019/7/11,1476,0.0,11.0,9
2018/7/9,1476,0.0,9.5,9
2017/7/25,1476,20.0,10.5,9
2015/7/28,1476,0.0,8.0,9
2014/8/28,1476,40.0,0.0,9
2014/7/9,1476,0.0,7.0,9
2016/7/12,1476,0.0,10.5,9
2013/8/23,1476,20.0,5.0,9
2022/6/15,1504,0.0,1.35,10
2018/7/5,1504,0.0,0.86,10
2017/7/5,1504,0.0,0.88,10
2016/7/5,1504,0.0,0.8,10
2015/7/7,1504,0.0,1.1,10
2014/7/8,1504,0.0,1.1,10
2013/7/18,1504,0.0,1.0,10
2021/6/9,1504,0.0,1.15,10
2020/6/11,1504,0.0,0.99,10
2019/7/3,1504,0.0,0.9,10
